Album,Genre
88,Alternative
124,Alternative
126,Alternative
170,Alternative
219,Alternative
277,Alternative
331,Alternative
333,Alternative
355,Alternative
359,Alternative
380,Alternative
401,Alternative
455,Alternative
457,Alternative
120,Blues
141,Blues
175,Blues
218,Blues
362,Blues
371,Blues
399,Blues
400,Blues
461,Blues
9,Classical
24,Classical
34,Classical
41,Classical
42,Classical
55,Classical
56,Classical
63,Classical
74,Classical
75,Classical
103,Classical
130,Classical
136,Classical
137,Classical
156,Classical
164,Classical
181,Classical
182,Classical
183,Classical
184,Classical
188,Classical
197,Classical
203,Classical
206,Classical
228,Classical
236,Classical
257,Classical
281,Classical
296,Classical
301,Classical
302,Classical
308,Classical
321,Classical
327,Classical
328,Classical
329,Classical
330,Classical
344,Classical
383,Classical
384,Classical
390,Classical
415,Classical
422,Classical
432,Classical
444,Classical
445,Classical
454,Classical
113,Country
115,Country
199,Country
350,Country
423,Country
426,Country
6,Electronic
43,Electronic
50,Electronic
70,Electronic
72,Electronic
100,Electronic
107,Electronic
118,Electronic
158,Electronic
177,Electronic
187,Electronic
230,Electronic
234,Electronic
235,Electronic
238,Electronic
240,Electronic
255,Electronic
259,Electronic
269,Electronic
270,Electronic
282,Electronic
291,Electronic
307,Electronic
309,Electronic
311,Electronic
316,Electronic
319,Electronic
361,Electronic
419,Electronic
425,Electronic
427,Electronic
440,Electronic
446,Electronic
451,Electronic
460,Electronic
138,Indie
178,Indie
310,Indie
447,Indie
456,Indie
19,Jazz
20,Jazz
51,Jazz
78,Jazz
104,Jazz
151,Jazz
160,Jazz
172,Jazz
211,Jazz
212,Jazz
227,Jazz
246,Jazz
279,Jazz
353,Jazz
395,Jazz
408,Jazz
420,Jazz
443,Jazz
18,Latin
21,Latin
38,Latin
39,Latin
47,Latin
53,Latin
69,Latin
81,Latin
82,Latin
83,Latin
90,Latin
101,Latin
108,Latin
119,Latin
166,Latin
169,Latin
196,Latin
226,Latin
232,Latin
233,Latin
260,Latin
262,Latin
268,Latin
283,Latin
287,Latin
293,Latin
297,Latin
320,Latin
336,Latin
337,Latin
341,Latin
356,Latin
357,Latin
386,Latin
418,Latin
424,Latin
428,Latin
429,Latin
3,Metal
4,Metal
10,Metal
12,Metal
27,Metal
28,Metal
29,Metal
31,Metal
32,Metal
36,Metal
48,Metal
77,Metal
84,Metal
91,Metal
93,Metal
95,Metal
99,Metal
106,Metal
116,Metal
127,Metal
142,Metal
150,Metal
152,Metal
192,Metal
193,Metal
204,Metal
209,Metal
215,Metal
231,Metal
249,Metal
250,Metal
251,Metal
252,Metal
253,Metal
258,Metal
265,Metal
294,Metal
299,Metal
304,Metal
305,Metal
315,Metal
318,Metal
345,Metal
348,Metal
354,Metal
382,Metal
391,Metal
393,Metal
398,Metal
413,Metal
436,Metal
441,Metal
450,Metal
458,Metal
459,Metal
1,Pop
25,Pop
52,Pop
110,Pop
129,Pop
146,Pop
213,Pop
217,Pop
323,Pop
332,Pop
342,Pop
351,Pop
363,Pop
373,Pop
381,Pop
387,Pop
435,Pop
65,Punk
189,Punk
198,Punk
2,R&B
44,R&B
112,R&B
224,R&B
349,R&B
389,R&B
14,Rap
17,Rap
37,Rap
102,Rap
179,Rap
194,Rap
221,Rap
271,Rap
410,Rap
5,Rock
7,Rock
8,Rock
11,Rock
13,Rock
15,Rock
16,Rock
22,Rock
23,Rock
26,Rock
30,Rock
33,Rock
35,Rock
40,Rock
45,Rock
46,Rock
49,Rock
54,Rock
57,Rock
58,Rock
59,Rock
61,Rock
62,Rock
64,Rock
66,Rock
67,Rock
68,Rock
71,Rock
73,Rock
76,Rock
79,Rock
80,Rock
85,Rock
86,Rock
87,Rock
89,Rock
92,Rock
94,Rock
96,Rock
97,Rock
98,Rock
105,Rock
109,Rock
111,Rock
114,Rock
117,Rock
121,Rock
122,Rock
123,Rock
125,Rock
128,Rock
131,Rock
132,Rock
133,Rock
134,Rock
135,Rock
139,Rock
140,Rock
143,Rock
144,Rock
145,Rock
147,Rock
149,Rock
153,Rock
154,Rock
155,Rock
157,Rock
159,Rock
161,Rock
163,Rock
165,Rock
167,Rock
168,Rock
171,Rock
173,Rock
174,Rock
176,Rock
180,Rock
185,Rock
186,Rock
190,Rock
191,Rock
195,Rock
200,Rock
201,Rock
202,Rock
205,Rock
207,Rock
208,Rock
210,Rock
214,Rock
216,Rock
220,Rock
222,Rock
223,Rock
225,Rock
229,Rock
237,Rock
239,Rock
241,Rock
242,Rock
243,Rock
244,Rock
245,Rock
247,Rock
248,Rock
254,Rock
256,Rock
261,Rock
263,Rock
264,Rock
266,Rock
272,Rock
273,Rock
274,Rock
275,Rock
276,Rock
278,Rock
280,Rock
284,Rock
285,Rock
286,Rock
288,Rock
289,Rock
290,Rock
292,Rock
295,Rock
298,Rock
300,Rock
303,Rock
306,Rock
312,Rock
313,Rock
317,Rock
322,Rock
325,Rock
326,Rock
334,Rock
335,Rock
338,Rock
339,Rock
340,Rock
343,Rock
346,Rock
352,Rock
358,Rock
360,Rock
364,Rock
365,Rock
366,Rock
367,Rock
368,Rock
369,Rock
370,Rock
372,Rock
374,Rock
375,Rock
376,Rock
377,Rock
378,Rock
379,Rock
385,Rock
388,Rock
392,Rock
394,Rock
396,Rock
397,Rock
402,Rock
403,Rock
404,Rock
405,Rock
406,Rock
407,Rock
409,Rock
411,Rock
412,Rock
414,Rock
417,Rock
421,Rock
430,Rock
431,Rock
433,Rock
434,Rock
437,Rock
438,Rock
439,Rock
442,Rock
448,Rock
449,Rock
452,Rock
453,Rock
462,Rock
60,World
148,World
162,World
267,World
314,World
324,World
347,World
416,World
